inference_index,sim_time,policy_id,cmd_x,cmd_y,cmd_yaw
409,18.600000,3,-0.784051,0.702445,-0.000000
410,18.620000,3,-0.788446,0.697470,-0.000000
411,18.640000,3,-0.790765,0.694845,-0.000000
412,18.660000,3,-0.795068,0.689962,-0.000000
413,18.680000,3,-0.798242,0.686239,-0.000000
414,18.700000,3,-0.802087,0.681814,-0.000000
415,18.720000,3,-0.807489,0.675375,-0.000000
416,18.740000,3,-0.813471,0.668203,-0.000000
417,18.760000,3,-0.816645,0.664327,-0.000000
418,18.780000,3,-0.820643,0.659383,-0.000000
419,18.800000,3,-0.823817,0.655324,-0.000000
420,18.820000,3,-0.827693,0.650502,-0.000000
421,18.840000,3,-0.832392,0.644459,-0.000000
422,18.860000,3,-0.837062,0.638203,-0.000000
423,18.880000,3,-0.839564,0.634693,-0.000000
424,18.900000,3,-0.841456,0.632557,-0.000000
425,18.920000,3,-0.844050,0.628712,-0.000000
426,18.940000,3,-0.846858,0.625385,-0.000000
427,18.960000,3,-0.848781,0.622700,-0.000000
428,18.980000,3,-0.851772,0.618671,-0.000000
429,19.000000,3,-0.854457,0.614978,-0.000000
430,19.020000,3,-0.855068,0.614063,-0.000000
431,19.040000,3,-0.856197,0.612476,-0.000000
432,19.060000,3,-0.856746,0.611560,-0.000000
433,19.080000,3,-0.857204,0.611011,-0.000000
434,19.100000,3,-0.857692,0.610340,-0.000000
435,19.120000,3,-0.858272,0.609546,-0.000000
436,19.140000,3,-0.859066,0.608448,-0.000000
437,19.160000,3,-0.859767,0.607440,-0.000000
438,19.180000,3,-0.859951,0.607196,-0.000000
439,19.200000,3,-0.860103,0.606861,-0.000000
440,19.220000,3,-0.860561,0.606311,-0.000000
441,19.240000,3,-0.860195,0.607013,-0.000000
442,19.260000,3,-0.859920,0.607349,-0.000000
443,19.280000,3,-0.859920,0.607410,-0.000000
444,19.300000,3,-0.859920,0.607410,-0.000000
445,19.320000,3,-0.859737,0.607654,-0.000000
446,19.340000,3,-0.859737,0.607715,-0.000000
447,19.360000,3,-0.859645,0.607776,-0.000000
448,19.380000,3,-0.859645,0.607776,-0.000000
449,19.400000,3,-0.859645,0.607776,-0.000000
450,19.420000,3,-0.859645,0.607776,-0.000000
451,19.440000,3,-0.859645,0.607776,-0.000000
452,19.460000,3,-0.859645,0.607776,-0.000000
453,19.480000,3,-0.859645,0.607776,-0.000000
454,19.500000,3,-0.859645,0.607776,-0.000000
455,19.520000,3,-0.859645,0.607776,-0.000000
456,19.540000,3,-0.859645,0.607776,-0.000000
457,19.560000,3,-0.859645,0.607776,-0.000000
458,19.580000,3,-0.859645,0.607776,-0.000000
459,19.600000,3,-0.859645,0.607776,-0.000000
460,19.620000,3,-0.859645,0.607776,-0.000000
461,19.640000,3,-0.859645,0.607776,-0.000000
462,19.660000,3,-0.859645,0.607776,-0.000000
463,19.680000,3,-0.859645,0.607776,-0.000000
464,19.700000,3,-0.859645,0.607776,-0.000000
465,19.720000,3,-0.859493,0.607929,-0.000000
466,19.740000,3,-0.859340,0.608203,-0.000000
467,19.760000,3,-0.859340,0.608203,-0.000000
468,19.780000,3,-0.859340,0.608203,-0.000000
469,19.800000,3,-0.859340,0.608203,-0.000000
470,19.820000,3,-0.859340,0.608203,-0.000000
471,19.840000,3,-0.859340,0.608203,-0.000000
472,19.860000,3,-0.859340,0.608203,-0.000000
473,19.880000,3,-0.859340,0.608203,-0.000000
474,19.900000,3,-0.859340,0.608203,-0.000000
475,19.920000,3,-0.859340,0.608203,-0.000000
