inference_index,sim_time,v0000,v0001,v0002,v0003,v0004,v0005,v0006,v0007,v0008,v0009,v0010,v0011,v0012,v0013,v0014,v0015
740,12.900000,-0.401191,0.792871,-0.360941,-0.544255,0.056183,-0.696353,0.331190,1.058393,-0.370275,-2.050475,0.957909,-0.269661,2.992821,2.271950,3.266114,2.699171
741,12.920000,-0.304547,0.802321,-0.372757,-0.526304,0.141199,-0.649869,0.295728,1.030149,-0.484492,-2.121907,1.041278,-0.220174,3.041949,2.359180,3.265852,2.851549
742,12.940000,-0.345984,0.850260,-0.341457,-0.594030,0.111581,-0.670704,0.384785,1.114309,-0.386902,-2.099752,1.099760,-0.152072,3.176849,2.379706,3.416664,2.962985
743,12.960000,-0.421959,0.839878,-0.452532,-0.580012,0.122506,-0.763121,0.393079,1.179199,-0.295691,-2.099936,1.129209,-0.123374,3.255658,2.438763,3.483301,3.105986
744,12.980000,-0.416016,0.884188,-0.521080,-0.555232,0.166360,-0.754187,0.473061,1.253366,-0.133076,-2.175375,1.184340,0.040780,3.280496,2.477547,3.573234,3.247718
745,13.000000,-0.486778,0.893666,-0.522601,-0.546536,0.169231,-0.819988,0.515461,1.328193,-0.005990,-2.109828,1.240119,-0.000309,3.375098,2.537221,3.593480,3.367468
746,13.020000,-0.500944,0.827407,-0.644352,-0.492182,0.090102,-0.893466,0.476860,1.235551,-0.089355,-2.128462,1.098146,-0.095821,3.325179,2.437266,3.493340,3.181805
747,13.040000,-0.533089,0.886477,-0.578937,-0.507154,0.114124,-0.821298,0.506616,1.303985,0.081805,-2.105159,1.067725,0.018586,3.272060,2.415450,3.421959,3.073781
748,13.060000,-0.524908,0.848046,-0.524805,-0.481652,0.114242,-0.828558,0.432619,1.230434,-0.047802,-2.022619,1.048570,-0.172416,3.246105,2.383052,3.252513,2.932277
749,13.080000,-0.544886,0.930844,-0.334241,-0.567397,0.114651,-0.763349,0.506909,1.326926,0.037762,-1.956541,1.032624,-0.132098,3.294416,2.359413,3.359790,2.911354
750,13.100000,-0.492179,0.979960,-0.313011,-0.546714,0.183806,-0.746490,0.412673,1.318992,-0.088018,-1.989924,1.112991,-0.148496,3.463362,2.469220,3.447812,3.088094
751,13.120000,-0.437642,0.995079,-0.321681,-0.542811,0.217954,-0.728273,0.439029,1.359658,-0.019026,-2.003150,1.209232,-0.135617,3.514709,2.570472,3.475071,3.365268
752,13.140000,-0.410608,0.945522,-0.404488,-0.513243,0.201024,-0.809251,0.424966,1.288910,-0.086712,-2.046028,1.229051,-0.154807,3.491488,2.604047,3.412761,3.427782
753,13.160000,-0.380645,0.940567,-0.463823,-0.523611,0.191901,-0.826813,0.483104,1.227412,-0.161084,-2.071622,1.206466,-0.124022,3.377792,2.538373,3.390794,3.338796
754,13.180000,-0.401338,1.005687,-0.336699,-0.597138,0.186818,-0.828704,0.523723,1.284129,-0.063384,-2.085239,1.235211,-0.019093,3.295671,2.477220,3.473654,3.199364
755,13.200000,-0.391133,0.917055,-0.401168,-0.610804,0.142036,-0.805844,0.549460,1.284372,-0.061229,-2.093760,1.204554,-0.120779,3.197478,2.387340,3.400263,3.051003
756,13.220000,-0.359207,0.869699,-0.454527,-0.608987,0.143698,-0.779894,0.505132,1.253973,-0.179714,-2.025315,1.181953,-0.267106,3.146908,2.368136,3.298960,3.075608
757,13.240000,-0.325388,0.897546,-0.438707,-0.611379,0.157427,-0.760812,0.487310,1.224301,-0.280415,-2.038465,1.180488,-0.251348,3.140665,2.374251,3.307002,3.067158
758,13.260000,-0.363220,0.833148,-0.438741,-0.634575,0.129253,-0.791098,0.466339,1.220655,-0.420289,-1.869197,1.180394,-0.395205,3.219512,2.401122,3.313981,3.063687
759,13.280000,-0.404976,0.913079,-0.370471,-0.686357,0.148856,-0.779084,0.521701,1.308595,-0.330421,-1.840903,1.193958,-0.334820,3.295533,2.425891,3.463551,3.116862
760,13.300000,-0.349441,0.880624,-0.432173,-0.653306,0.164186,-0.728002,0.540500,1.259277,-0.252767,-1.982393,1.204868,-0.305299,3.189942,2.466932,3.400140,3.126675
761,13.320000,-0.275388,0.892801,-0.430768,-0.638411,0.235861,-0.699425,0.514314,1.219948,-0.363436,-2.025823,1.259679,-0.290016,3.153945,2.481065,3.322438,3.185376
762,13.340000,-0.342284,0.917505,-0.474361,-0.644973,0.198723,-0.669535,0.496463,1.215288,-0.250775,-2.087296,1.205717,-0.264226,3.021510,2.512196,3.210784,3.164949
763,13.360000,-0.298807,0.876493,-0.446945,-0.595344,0.296688,-0.610646,0.490249,1.186219,-0.261115,-2.125133,1.282282,-0.246137,3.005690,2.609174,3.072448,3.218356
764,13.380000,-0.325193,0.827631,-0.549779,-0.594274,0.262976,-0.657805,0.441808,1.142467,-0.472685,-2.041286,1.278016,-0.384952,3.060201,2.677215,2.997097,3.243471
765,13.400000,-0.339857,0.785986,-0.561679,-0.595483,0.244606,-0.570600,0.417103,1.054895,-0.526622,-2.011999,1.231271,-0.461090,3.000125,2.731719,2.812743,3.216410
766,13.420000,-0.318709,0.826347,-0.512524,-0.589265,0.348813,-0.534931,0.430890,1.019174,-0.581627,-1.956759,1.342362,-0.451335,3.026558,2.847634,2.702273,3.286415
767,13.440000,-0.348599,0.906912,-0.435021,-0.640471,0.376186,-0.482782,0.510681,1.048441,-0.537662,-1.936822,1.385762,-0.382365,3.068562,2.939624,2.720924,3.367777
768,13.460000,-0.416545,0.877363,-0.417955,-0.624728,0.389634,-0.488742,0.543543,1.041925,-0.432116,-1.924341,1.365948,-0.365868,3.010846,2.955985,2.700040,3.383658
769,13.480000,-0.430642,0.865752,-0.413803,-0.598092,0.413720,-0.515041,0.535285,1.032729,-0.562515,-1.890270,1.397791,-0.307695,3.003208,3.003666,2.769999,3.398757
770,13.500000,-0.449437,0.914975,-0.420460,-0.606841,0.422390,-0.489239,0.593468,1.063292,-0.553174,-1.828970,1.409409,-0.315351,3.053368,3.009382,2.887861,3.394044
771,13.520000,-0.470273,0.923570,-0.444767,-0.585396,0.442377,-0.504647,0.588080,1.050467,-0.639287,-1.828962,1.433340,-0.272566,3.015715,3.008834,2.942561,3.369355
772,13.540000,-0.470019,0.860227,-0.533797,-0.539389,0.448729,-0.490948,0.559463,1.045142,-0.690040,-1.761003,1.443027,-0.359583,2.980955,3.019475,2.934461,3.372585
773,13.560000,-0.471041,0.841287,-0.549092,-0.491275,0.435596,-0.479208,0.546715,1.003167,-0.588931,-1.762839,1.384968,-0.408705,2.815016,2.956513,2.776294,3.251428
774,13.580000,-0.460398,0.823905,-0.550808,-0.498695,0.462269,-0.432626,0.559283,0.993299,-0.608961,-1.685512,1.399118,-0.436039,2.832978,2.957967,2.750257,3.202915
775,13.600000,-0.365267,0.918154,-0.446148,-0.479829,0.583976,-0.366322,0.555792,0.989028,-0.709258,-1.726224,1.567061,-0.292141,2.960479,3.053884,2.765773,3.445351
776,13.620000,-0.337504,0.994033,-0.414509,-0.475982,0.600396,-0.376261,0.610865,1.012154,-0.676843,-1.782022,1.649760,-0.186575,3.078172,3.134718,2.774873,3.675835
777,13.640000,-0.346492,1.021715,-0.487585,-0.454473,0.602606,-0.408758,0.684735,1.026326,-0.554320,-1.849249,1.683905,-0.097495,3.123325,3.125640,2.722593,3.764098
778,13.660000,-0.337241,0.976832,-0.522603,-0.457787,0.612655,-0.442443,0.710155,1.037571,-0.556659,-1.785488,1.724334,-0.129168,3.162784,3.133150,2.774402,3.782333
779,13.680000,-0.353832,0.952354,-0.579162,-0.412926,0.618317,-0.434063,0.702289,1.009172,-0.537833,-1.778221,1.693137,-0.162845,3.060405,3.069688,2.695889,3.695133
780,13.700000,-0.315514,0.904015,-0.545852,-0.359891,0.596486,-0.432303,0.671974,0.928220,-0.666641,-1.848307,1.665641,-0.132733,2.906620,3.069637,2.582076,3.559097
781,13.720000,-0.325884,0.913111,-0.438044,-0.378417,0.552438,-0.414191,0.683543,0.904063,-0.683109,-1.893809,1.609658,-0.111447,2.747857,3.016807,2.478198,3.373792
